cntry,r,p,n
LV,-0.196,0.0,3377
PT,-0.162,0.0,16062
LU,-0.134,0.0,2188
CY,-0.11,0.0,5464
NL,-0.11,0.0,16703
HU,-0.088,0.0,15898
DE,-0.085,0.0,30868
GB,-0.085,0.0,18488
HR,-0.078,0.0,5682
PL,-0.05,0.0,17058
SE,-0.041,0.0,15975
SI,-0.032,0.0,12095
FI,-0.03,0.0,18765
LT,-0.017,0.075,10899
FR,-0.002,0.784,17069
BE,-0.002,0.818,15340
DK,0.004,0.686,11540
AT,0.006,0.482,13617
IE,0.014,0.058,18954
CH,0.014,0.123,13033
ES,0.016,0.034,17345
NO,0.019,0.024,14524
EE,0.054,0.0,13774
CZ,0.063,0.0,19059
GR,0.066,0.0,11497
BG,0.167,0.0,12016
IT,0.185,0.0,9302
SK,0.189,0.0,10682
IS,0.201,0.0,3692
RO,,,1899
