cntry,year,mean_attitude,n_respondents,net_restrict_score,n_restrict,n_liberal,n_policy_actions,net_major_score,net_nonmajor_score
AT,2002,5.252310231023102,2020,0,6,6,12,-1,1
AT,2004,4.777859118269075,2049,2,9,7,16,1,1
AT,2006,4.680505142165759,2204,5,11,6,17,1,4
AT,2014,4.503377665188938,1579,-12,6,18,24,1,-13
AT,2016,4.363290669634576,1797,3,25,22,47,6,-3
AT,2018,4.696122633002705,2218,7,29,22,51,4,3
AT,2020,4.785714285714286,1750,-4,13,17,30,2,-6
BE,2002,4.838556780808667,1723,-2,0,2,2,-2,0
BE,2004,4.759843331271903,1617,2,7,5,12,-3,5
BE,2006,4.988030026374519,1643,5,11,6,17,0,5
BE,2008,5.116445567487892,1583,0,7,7,14,-2,2
BE,2010,4.808234258036108,1514,-2,5,7,12,-2,0
BE,2012,4.89155749636099,1603,5,9,4,13,1,4
BE,2014,4.891050583657588,1542,6,19,13,32,8,-2
BE,2016,5.226277372262774,1507,0,18,18,36,4,-4
BE,2018,5.405017921146953,1488,9,28,19,47,3,6
BE,2020,5.771130952380953,1120,-3,15,18,33,0,-3
BG,2006,5.616850127011007,1181,2,4,2,6,0,2
BG,2008,5.369991687448047,2005,-3,2,5,7,0,-3
BG,2010,5.331378740039091,2217,-1,1,2,3,0,-1
BG,2012,5.178624078624079,2035,-2,3,5,8,-2,0
BG,2018,3.99365658672228,1918,-13,8,21,29,-2,-11
BG,2020,4.8657268170426065,2660,-13,2,15,17,0,-13
CH,2002,5.744819419775014,1689,-5,1,6,7,-2,-3
CH,2004,5.474623163518412,1747,-3,1,4,5,-1,-2
CH,2006,5.681392694063927,1460,-1,2,3,5,-1,0
CH,2008,5.83908459142104,1391,5,11,6,17,1,4
CH,2010,5.750795027464585,1153,7,13,6,19,2,5
CH,2012,5.712987012987013,1155,6,10,4,14,2,4
CH,2014,5.734475688342121,1138,0,5,5,10,0,0
CH,2016,5.746146872166817,1103,0,6,6,12,-1,1
CH,2018,5.906409104522312,1113,0,9,9,18,0,0
CH,2020,6.0987084870848705,1084,-2,6,8,14,1,-3
CY,2006,3.9599786552828173,937,-10,1,11,12,-1,-9
CY,2008,4.347657415696807,1117,-4,3,7,10,0,-4
CY,2010,3.761072261072261,1001,-2,0,2,2,0,-2
CY,2012,2.993933265925177,989,-1,2,3,5,0,-1
CY,2018,4.190611664295875,703,-9,7,16,23,1,-10
CY,2020,4.344258484425849,717,-4,4,8,12,1,-5
CZ,2002,4.380971551261407,1242,9,11,2,13,1,8
CZ,2004,4.270856102003643,2745,0,6,6,12,0,0
CZ,2008,4.283643892339544,1932,-12,1,13,14,-5,-7
CZ,2010,4.027959331880901,2295,-7,4,11,15,-5,-2
CZ,2012,4.148723442242457,1867,2,6,4,10,-1,3
CZ,2014,3.8359098228663444,2070,-6,6,12,18,-3,-3
CZ,2016,3.7243909819942504,2203,-11,9,20,29,1,-12
CZ,2018,3.8472881599769813,2317,-22,4,26,30,2,-24
CZ,2020,3.9792713567839195,2388,-17,7,24,31,1,-18
DE,2002,5.292407407407407,2700,-2,2,4,6,1,-3
DE,2004,4.844184858930167,2611,5,7,2,9,1,4
DE,2006,4.8772749937671405,2674,3,11,8,19,0,3
DE,2008,5.381833864118896,2512,1,6,5,11,1,0
DE,2010,5.183321087435709,2722,-4,5,9,14,1,-5
DE,2012,5.70168172690763,2656,-10,3,13,16,-1,-9
DE,2014,5.73464672260732,2741,-17,9,26,35,-2,-15
DE,2016,5.664248366013072,2550,-3,29,32,61,6,-9
DE,2018,5.817731188038355,2051,4,23,19,42,7,-3
DE,2020,5.650198231168039,7651,-3,13,16,29,4,-7
DK,2002,5.298829990448902,1396,8,13,5,18,0,8
DK,2004,5.32905067808708,1401,13,16,3,19,1,12
DK,2006,5.715974212034384,1396,10,12,2,14,3,7
